,names,companies,car_births,car_types,car_prices_1,car_prices_2,fuel_efficiencies,fuels,images
26,2022 니로 하이브리드,기아,국산차,소형,2439.0,3017.0,17.1~19.5km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210604_294/auto_162277636678023qbI_PNG/20210604121220_JSZe96m6.png?type=f160_116
27,2021 K8,기아,국산차,준대형,3220.0,4526.0,7.7~12.0km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20210413_121/auto_16182756630454OIf5_PNG/20210413100059_mjk3TjYX.png?type=f160_116
28,2021 싼타페 하이브리드,현대,국산차,중형,3414.0,4497.0,13.1~15.3km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210709_143/auto_1625817281005rLcf3_PNG/20210709165437_daDHRKHe.png?type=f160_116
29,2022 EV6 GT,기아,국산차,준중형,7200.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20210413_246/auto_1618283487781RBkXY_PNG/20210413121115_dzxgxXNt.png?type=f160_116
30,2021 스타리아,현대,국산차,대형,2516.0,4412.0,6.5~12.3km/ℓ,"디젤,LPG",https://imgauto-phinf.pstatic.net/20210322_21/auto_1616381767918es6No_PNG/20210322115603_s5SuEOiQ.png?type=f160_116
31,2022 렉스턴,쌍용,국산차,준대형,3737.0,5018.0,11.1~11.6km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210803_124/auto_1627954050418Cx1jG_PNG/20210803102715_DuGjQToR.png?type=f160_116
32,2020 싼타페,현대,국산차,중형,2975.0,4212.0,9.5~14.2km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200630_211/auto_15934984794878p92q_PNG/20200630152756_dqkVvr2y.png?type=f160_116
33,2021 코나,현대,국산차,소형,1999.0,2996.0,11.6~13.9km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20200902_230/auto_1599010387770nrwj6_PNG/20200902103256_Lzj7EQyD.png?type=f160_116
34,2022 카니발 하이리무진,기아,국산차,대형,6096.0,8683.0,8.4~11.5km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210712_36/auto_1626063327761efyFe_PNG/20210712131512_ZkLQufpD.png?type=f160_116
35,2022 XM3,르노삼성,국산차,소형,1787.0,2641.0,13.2~13.8km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210603_231/auto_1622701204833XumzS_PNG/20210603151952_oamtOoHC.png?type=f160_116
36,2021 쏘나타,현대,국산차,중형,2547.0,3645.0,9.9~13.8km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20210422_192/auto_161906473989766Uqc_PNG/20210422131211_sU38kBib.png?type=f160_116
37,2021 디피코 포트로 EV 픽업,디피코,국산차,경형,2068.0,2280.0,4.2km/kWh,전기,https://imgauto-phinf.pstatic.net/20210323_161/auto_1616471210028PyKBF_PNG/20210323124640_0LACwBF7.png?type=f160_116
38,2022 K3,기아,국산차,준중형,1738.0,2425.0,14.1~15.2km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210427_204/auto_1619492074130Igh6d_PNG/20210427115430_uLZZQR62.png?type=f160_116
